NGC103, 6.3221, 61.3219, 9.8, 5.0
NGC104, 6.0217, -71.9197, 4.0, 50.0
NGC121, 6.6963, -70.4633, 11.2, 1.5
NGC129, 7.4917, 60.2117, 6.5, 12.0
NGC133, 7.8250, 63.3517, 9.4, 3.0
NGC136, 7.8779, 61.5092, 11.5, 1.5
NGC146, 8.2625, 63.3017, 9.1, 5.0
NGC152, 8.2371, -72.8839, 11.9, 1.7
NGC176, 8.9950, -72.8339, 12.7, 1.0
NGC188, 11.8750, 85.2583, 8.1, 15.0
NGC189, 9.8983, 61.0950, 8.8, 5.0
NGC220, 10.1250, -72.5958, 12.4, 0.8
NGC222, 10.1821, -72.6142, 12.2, 0.6
NGC225, 10.9000, 61.7667, 7.0, 15.0
NGC231, 10.2767, -72.6475, 12.7, 0.8
NGC241, 10.8883, -72.5575, 12.1, 0.9
NGC242, 10.8883, -72.5575, 12.1, 0.9
NGC256, 11.4721, -72.4931, 12.7, 0.6
NGC265, 11.7963, -72.5228, 12.2, 1.0
NGC269, 12.0875, -72.4683, 13.3, 0.6
NGC272, 12.8583, 35.8217, 8.5, 5.0
NGC288, 13.1896, -25.4025, 8.1, 13.0
NGC290, 12.8112, -72.8375, 12.0, 0.8
NGC294, 13.2737, -72.6194, 12.7, 0.8
NGC299, 13.3529, -71.8036, 11.7, 0.7
NGC306, 13.5629, -71.7575, 12.5, 0.8
NGC330, 14.0825, -71.5378, 9.6, 1.4
NGC339, 14.4375, -73.5278, 12.8, 2.2
NGC362, 15.8096, -69.1522, 6.8, 14.0
NGC376, 15.9725, -71.1761, 10.9, 1.0
NGC381, 17.0833, 61.5833, 9.3, 7.0
NGC411, 16.9821, -70.2314, 12.2, 1.3
NGC416, 16.9938, -71.6431, 12.6, 1.2
NGC419, 17.0717, -71.1167, 11.2, 2.4
NGC436, 18.9917, 58.8117, 8.8, 5.0
NGC457, 19.8875, 58.2950, 6.4, 20.0
NGC458, 18.7150, -70.4489, 10.5, 1.5
NGC465, 18.9279, -72.6758, 11.5, 2.0
NGC559, 22.3792, 63.3017, 9.5, 7.0
NGC609, 24.0988, 64.5367, 11.0, 3.0
NGC637, 25.7625, 64.0367, 8.2, 3.0
NGC643A, 22.6558, -75.9450, 12.0, 2.0
NGC654, 25.9975, 61.8828, 6.5, 6.0
NGC659, 26.1000, 60.6700, 7.9, 6.0
NGC663, 26.5708, 61.2183, 7.1, 15.0
NGC744, 29.6375, 55.4733, 7.9, 5.0
NGC752, 29.3958, 37.8333, 5.7, 75.0
NGC869, 34.7667, 57.1350, 5.3, 18.0
NGC884, 35.5208, 57.1300, 6.1, 18.0
NGC956, 38.0621, 44.6467, 8.9, 9.0
NGC957, 38.3375, 57.5600, 7.6, 10.0
NGC1027, 40.6500, 61.5950, 6.7, 15.0
NGC1049, 39.9504, -33.7417, 12.9, 1.2
