NGC1, 1.8162, 27.7089, 12.9, 1.7
NGC2, 1.8213, 27.6786, 14.2, 1.0
NGC3, 1.8200, 8.3014, 13.3, 1.1
NGC4, 1.8521, 8.3739, 15.8, 0.6
NGC5, 1.9533, 35.3628, 13.3, 1.2
NGC6, 2.3858, 33.3089, 13.1, 1.7
NGC7, 2.0863, -28.0836, 13.9, 2.2
NGC9, 2.2271, 23.8178, 13.5, 1.1
NGC10, 2.1429, -32.1422, 12.5, 2.4
NGC11, 2.1763, 37.4481, 13.7, 1.5
NGC12, 2.1867, 4.6122, 13.1, 1.1
NGC13, 2.1987, 33.4331, 13.2, 2.3
NGC14, 2.1929, 15.8158, 12.1, 2.8
NGC15, 2.2600, 21.6250, 13.8, 1.0
NGC16, 2.2675, 27.7300, 12.0, 1.8
NGC17, 2.7775, -11.8922, 14.4, 2.1
NGC19, 2.6700, 32.9828, 13.3, 1.1
NGC20, 2.3858, 33.3089, 13.1, 1.7
NGC21, 2.6958, 33.3519, 12.7, 1.5
NGC22, 2.4508, 27.8328, 13.6, 1.3
NGC23, 2.4721, 25.9239, 12.0, 2.1
NGC24, 2.4838, -23.0356, 11.6, 5.8
NGC25, 2.4971, -56.9797, 13.0, 1.4
NGC26, 2.6079, 25.8322, 12.9, 2.1
NGC27, 2.6362, 28.9969, 13.5, 1.2
NGC28, 2.6050, -55.0111, 13.8, 0.8
NGC29, 2.6958, 33.3519, 12.7, 1.5
NGC31, 2.6604, -55.0139, 13.9, 1.3
NGC34, 2.7775, -11.8922, 14.4, 2.1
NGC35, 2.7933, -11.9794, 14.1, 0.7
NGC36, 2.8433, 6.3889, 13.3, 2.2
NGC37, 2.8458, -55.0431, 13.7, 1.1
NGC38, 2.9458, -4.4136, 13.3, 1.4
NGC39, 3.0783, 31.0608, 13.5, 1.1
NGC41, 3.2000, 22.0239, 13.7, 0.8
NGC42, 3.2346, 22.1008, 13.8, 1.1
NGC43, 3.2538, 30.9156, 12.6, 1.6
NGC45, 3.5167, -22.8186, 10.6, 8.5
NGC47, 3.6271, -6.8322, 13.1, 2.3
NGC48, 3.5088, 48.2350, 13.6, 1.6
NGC49, 3.5933, 48.2472, 13.7, 1.1
NGC50, 3.6858, -6.6550, 12.3, 2.4
NGC51, 3.6450, 48.2561, 13.1, 1.3
NGC52, 3.6667, 18.5817, 13.4, 2.2
NGC53, 3.6792, -59.6714, 12.6, 2.0
NGC54, 3.7817, -6.8933, 13.4, 1.3
NGC55, 3.7833, -38.7806, 7.9, 31.2
NGC57, 3.8788, 17.3292, 11.6, 2.2
NGC58, 3.6271, -6.8322, 13.1, 2.3
NGC59, 3.8554, -20.5553, 12.4, 2.6
NGC60, 3.9925, 0.3036, 14.1, 1.3
NGC61A, 4.1000, -5.6828, 13.0, 1.1
NGC61B, 4.1017, -5.6778, 14.5, 0.9
NGC62, 4.2721, -12.5136, 13.2, 1.1
NGC63, 4.4396, 11.4500, 11.7, 1.7
NGC64, 4.3762, -5.1750, 13.2, 1.6
NGC65, 4.7446, -21.1200, 13.9, 1.0
NGC66, 4.7704, -21.0636, 13.5, 1.2
NGC67, 4.5621, 30.0633, 14.2, 0.3
NGC67A, 4.5504, 30.0553, 14.7, 0.4
NGC68, 4.5758, 30.0725, 12.9, 1.2
NGC69, 4.5850, 30.0406, 14.7, 0.5
NGC70, 4.5933, 30.0789, 13.5, 1.6
NGC71, 4.5979, 30.0631, 13.2, 1.2
NGC72, 4.6183, 30.0406, 13.5, 1.1
NGC72A, 4.6429, 30.0361, 14.7, 0.3
NGC73, 4.6621, -14.6783, 13.7, 1.7
NGC74, 4.7062, 30.0614, 14.8, 0.8
NGC75, 4.8596, 6.4497, 13.2, 1.1
NGC76, 4.9071, 29.9342, 13.1, 1.0
NGC77, 5.0067, -21.4678, 14.8, 0.4
NGC78A, 5.1075, 0.8264, 12.8, 1.1
NGC78B, 5.1146, 0.8333, 13.5, 1.0
NGC79, 5.2617, 22.5672, 14.0, 0.6
NGC80, 5.2954, 22.3578, 12.1, 1.6
NGC81, 5.3050, 22.3833, 15.7, 0.2
NGC83, 5.3442, 22.4342, 12.5, 1.5
NGC85, 5.3562, 22.5122, 14.8, 0.7
NGC85A, 5.3562, 22.5122, 14.8, 0.7
NGC85B, 5.3712, 22.5064, 14.7, 0.9
NGC86, 5.3692, 22.5564, 14.8, 0.7
NGC87, 5.3092, -47.3711, 14.3, 0.9
NGC88, 5.3417, -47.3603, 14.4, 0.8
NGC89, 5.3512, -47.3347, 13.5, 1.2
NGC90, 5.4650, 22.4006, 13.7, 1.9
NGC92, 5.3808, -47.3753, 13.1, 1.9
NGC93, 5.5142, 22.4089, 13.2, 1.4
NGC94-1, 5.5567, 22.4833, 14.6, 0.4
NGC94-2, 5.5575, 22.4739, 15.5, 0.4
NGC95, 5.5567, 10.4919, 12.5, 1.5
NGC96, 5.5742, 22.5467, 14.6, 0.6
NGC97, 5.6250, 29.7456, 12.3, 1.3
NGC98, 5.7054, -44.7317, 12.7, 1.6
NGC99, 5.9983, 15.7700, 13.7, 1.0
NGC100, 6.0108, 16.4864, 13.3, 4.2
NGC101, 5.9771, -31.4636, 12.8, 2.1
NGC102, 6.1521, -12.0439, 13.5, 1.0
NGC105, 6.3204, 12.8836, 13.2, 1.1
NGC106, 6.1821, -4.8511, 13.7, 0.9
NGC107, 6.4254, -7.7167, 14.2, 0.9
NGC108, 6.4988, 29.2119, 12.1, 2.3
NGC109, 6.5608, 21.8078, 13.7, 1.1
NGC111, 28.9254, -2.9339, 14.4, 0.9
NGC112, 6.7033, 31.7028, 13.6, 1.0
NGC113, 6.7279, -1.4994, 13.1, 1.4
NGC114, 6.7425, -0.2142, 13.8, 0.8
NGC115, 6.6917, -32.3239, 13.1, 1.9
NGC117, 6.7954, 1.3342, 14.3, 0.7
NGC118, 6.8171, -0.2203, 13.6, 0.7
NGC119, 6.7400, -55.0222, 13.0, 1.0
NGC120, 6.8754, -0.4864, 13.4, 1.5
NGC124, 6.9679, -0.1897, 13.0, 1.4
NGC125, 7.2096, 2.8386, 12.1, 1.8
NGC126, 7.2837, 2.8111, 14.2, 0.8
NGC127, 7.3013, 2.8733, 14.8, 0.8
NGC128, 7.3121, 2.8650, 11.8, 2.5
NGC130, 7.3275, 2.8711, 14.4, 0.7
NGC131, 7.4088, -32.7397, 13.2, 1.8
NGC132, 7.5442, 2.0931, 12.6, 1.9
NGC134, 7.5908, -32.7550, 10.4, 8.4
NGC135, 7.9413, -12.6622, 15.1, 0.5
NGC137, 7.7421, 10.2086, 12.8, 1.2
NGC138, 7.7467, 5.1597, 13.7, 1.3
NGC139, 7.7771, 5.0783, 14.4, 0.8
NGC140, 7.8350, 30.7919, 13.2, 1.5
NGC141, 7.8233, 5.1794, 14.5, 0.8
NGC142, 7.7829, -21.3806, 13.8, 1.1
NGC143, 7.8146, -21.4400, 14.4, 1.0
NGC144, 7.8363, -21.3539, 13.8, 0.8
NGC145, 7.9400, -4.8461, 12.7, 1.8
NGC147, 8.2988, 48.5072, 9.5, 13.2
NGC148, 8.5642, -30.2139, 12.2, 2.0
NGC149, 8.4592, 30.7236, 13.7, 1.2
NGC150, 8.5654, -26.1950, 11.4, 3.9
NGC151, 8.5117, -8.2950, 11.6, 3.8
NGC153, 8.5117, -8.2950, 11.6, 3.8
NGC154, 8.5808, -11.3442, 14.0, 1.1
NGC155, 8.6667, -9.2339, 13.3, 1.7
NGC157, 8.6933, -7.6039, 10.4, 3.5
NGC159, 8.6475, -54.2103, 13.7, 1.4
NGC160, 9.0171, 23.9581, 12.7, 2.3
NGC161, 8.8912, -1.1517, 13.4, 1.3
NGC163, 8.9987, -9.8786, 12.7, 1.6
NGC164, 9.1371, 2.7500, 15.8, 0.4
NGC165, 9.1204, -9.8936, 13.1, 1.6
NGC166, 8.9533, -12.3894, 14.3, 0.9
NGC167, 8.8454, -22.6253, 13.7, 1.0
NGC168, 9.1608, -21.4064, 14.0, 1.2
NGC169, 9.2154, 23.9914, 12.4, 2.6
NGC169A, 9.2175, 23.9850, 14.0, 0.4
NGC170, 9.1913, 1.8864, 14.4, 0.4
NGC171, 9.3396, -18.0656, 12.2, 2.1
NGC172, 9.3067, -21.4133, 13.4, 2.0
NGC173, 9.3017, 1.9422, 13.0, 3.2
NGC174, 9.2450, -28.5222, 12.9, 1.4
NGC175, 9.3396, -18.0656, 12.2, 2.1
NGC177, 9.3929, -21.4508, 13.3, 2.2
NGC178, 9.7850, -13.8278, 12.6, 2.1
NGC179, 9.4429, -16.1500, 13.3, 0.9
NGC180, 9.4904, 8.6347, 12.9, 1.9
NGC181, 9.5971, 29.4733, 14.9, 0.7
NGC182, 9.5517, 2.7286, 12.4, 1.9
NGC183, 9.6221, 29.5117, 12.7, 1.7
NGC184, 9.6492, 29.4475, 14.7, 0.7
