NGC1, 1.8162, 27.7089, 12.9, 1.7
NGC45, 3.5167, -22.8186, 10.6, 8.5
NGC55, 3.7833, -38.7806, 7.9, 31.2
NGC134, 7.5908, -32.7550, 10.4, 8.4
NGC147, 8.2988, 48.5072, 9.5, 13.2
NGC185, 9.7400, 48.3372, 9.2, 8.0
NGC247, 11.7846, -19.2400, 9.1, 19.2
NGC253, 11.8879, -24.7125, 7.2, 29.0
NGC337, 14.9579, -6.4219, 11.6, 3.0
NGC428, 18.2317, 0.9814, 11.5, 4.0
NGC488, 20.4442, 5.2558, 10.3, 5.4
NGC521, 21.1400, 1.7314, 11.7, 2.7
NGC524, 21.1992, 9.5386, 10.2, 2.8
NGC564, 21.9508, -0.1214, 12.5, 1.3
NGC578, 22.6204, -21.3333, 10.9, 4.8
NGC584, 22.8354, -5.1328, 10.5, 4.1
NGC613, 23.5767, -28.5814, 10.1, 5.5
NGC672, 26.9750, 27.4328, 10.9, 6.0
NGC772, 29.8313, 19.0075, 10.3, 7.2
NGC779, 29.9275, -4.0358, 11.2, 4.1
NGC891, 35.6375, 42.3472, 9.9, 11.7
NGC908, 35.7692, -20.7667, 10.2, 6.1
NGC925, 36.8200, 33.5789, 10.1, 10.5
NGC936, 36.9062, -0.8436, 10.2, 4.7
NGC1023, 40.1004, 39.0633, 9.4, 7.4
NGC1052, 40.2692, -7.7453, 10.5, 2.8
NGC1073, 40.9179, 1.3761, 11.0, 4.9
NGC1087, 41.6050, 0.4992, 10.9, 3.9
NGC1097, 41.5812, -29.7244, 9.5, 9.4
NGC1187, 45.6567, -21.1328, 10.8, 4.2
NGC1232, 47.4387, -19.4208, 9.9, 7.4
NGC1270, 49.7421, 41.4703, 13.1, 0.9
NGC1275, 49.9504, 41.5114, 11.9, 2.3
NGC1300, 49.9196, -18.5886, 10.4, 6.2
NGC1332, 51.5708, -20.6656, 10.3, 4.5
NGC1337, 52.0233, -7.6117, 11.9, 5.7
NGC1365, 53.4029, -35.8592, 9.6, 11.0
NGC1385, 54.3692, -23.4972, 10.9, 3.6
NGC1395, 54.6233, -22.9728, 9.6, 5.0
NGC1398, 54.7167, -25.6628, 9.7, 7.2
