NGC           RA          DE       MAG        XxY
32        00 10 53.2  +18 47 33     U        0.6
103       00 25 17.3  +61 19 19    9.8         5
104       00 24 05.2  -72 04 49    4.0        50
110       00 27 25.4  +71 23 26     U         19
121       00 26 47.1  -71 32 12   11.2       1.5
129       00 29 58.0  +60 12 42    6.5        12
133       00 31 18.0  +63 21 06    9.4         3
136       00 31 30.7  +61 30 33   11.5       1.5
146       00 33 03.0  +63 18 06    9.1         5
152       00 32 56.9  -73 06 58   11.9       1.7
176       00 35 58.8  -73 09 58   12.7         1
188       00 47 30.0  +85 15 30    8.1        15
189       00 39 35.6  +61 05 42    8.8         5
220       00 40 30.0  -73 24 15   12.4       0.8
222       00 40 43.7  -73 23 09   12.2       0.6
225       00 43 36.0  +61 46 00    7.0        15
231       00 41 06.4  -73 21 09   12.7       0.8
241       00 43 33.2  -73 26 33   12.1       0.9
242       00 43 33.2  -73 26 33   12.1       0.9
256       00 45 53.3  -73 30 25   12.7       0.6
265       00 47 11.1  -73 28 38   12.2         1
269       00 48 21.0  -73 31 54   13.3       0.6
272       00 51 26.0  +35 49 18    8.5         5
288       00 52 45.5  -26 35 51    8.1        13
290       00 51 14.7  -73 09 45   12.0       0.8
294       00 53 05.7  -73 22 50   12.7       0.8
299       00 53 24.7  -72 11 47   11.7       0.7
306       00 54 15.1  -72 14 33   12.5       0.8
330       00 56 19.8  -72 27 44    9.6       1.4
339       00 57 45.0  -74 28 20   12.8       2.2
358       01 05 10.8  +62 01 16     U        2.5
362       01 03 14.3  -70 50 52    6.8        14
366       01 06 25.9  +62 13 44     U          4
376       01 03 53.4  -72 49 26   10.9         1
381       01 08 20.0  +61 35 00    9.3         7
411       01 07 55.7  -71 46 07   12.2       1.3
416       01 07 58.5  -72 21 25   12.6       1.2
419       01 08 17.2  -72 53 00   11.2       2.4
433       01 15 09.2  +60 07 33     U          4
436       01 15 58.0  +58 48 42    8.8         5
457       01 19 33.0  +58 17 42    6.4        20
458       01 14 51.6  -71 33 04   10.5       1.5
465       01 15 42.7  -73 19 27   11.5         2
559       01 29 31.0  +63 18 06    9.5         7
581       01 33 23.0  +60 39 30    7.4         6
609       01 36 23.7  +64 32 12   11.0         3
629       01 39 02.1  +72 52 06     U          4
637       01 43 03.0  +64 02 12    8.2         3
643       01 35 00.7  -75 33 24     U        1.5
643A      01 30 37.4  -76 03 18   12.0       2 2
654       01 43 59.4  +61 52 58    6.5         6
657       01 43 29.8  +55 52 30     U          7
659       01 44 24.0  +60 40 12    7.9         6
663       01 46 17.0  +61 13 06    7.1        15
743       01 58 37.0  +60 10 00     U          7
744       01 58 33.0  +55 28 24    7.9         5
752       01 57 35.0  +37 50 00    5.7        75
796       01 56 43.8  -74 13 12     U        0.8
869       02 19 04.0  +57 08 06    5.3        18
884       02 22 05.0  +57 07 48    6.1        18
886       02 23 28.1  +63 46 16     U         14
956       02 32 14.9  +44 38 48    8.9         9
957       02 33 21.0  +57 33 36    7.6        10
1027      02 42 36.0  +61 35 42    6.7        15
1039      02 42 05.0  +42 45 42    5.2        25
1049      02 39 48.1  -34 15 30   12.9       1.2
1193      03 05 55.0  +44 23 00   12.6         3
1220      03 11 40.6  +53 20 53   11.8         2
1245      03 14 41.4  +47 14 19    8.4        10
1252      03 10 44.0  -57 45 30     U          8
1261      03 12 15.3  -55 12 59    8.3       6.8
1342      03 31 38.0  +37 22 36    6.7        17
1348      03 34 06.0  +51 25 12     U          6
1444      03 49 25.0  +52 39 18    6.6         4
1466      03 44 33.4  -71 40 18   11.4       1.9
1496      04 04 31.8  +52 39 41    9.6         3
1502      04 07 49.2  +62 19 54    6.9        20
1513      04 09 57.0  +49 30 54    8.4        12
1520      03 57 51.1  -76 48 20     U          5
1528      04 15 19.0  +51 12 42    6.4        18
1545      04 20 56.2  +50 15 19    6.2        12
1548      04 20 49.6  +36 53 55     U         30
1557      04 13 14.0  -70 30 30     U         10
1582      04 31 39.0  +43 44 36    7.0        24
1605      04 34 52.2  +45 16 17   10.7         5
1624      04 40 36.4  +50 27 42   11.8         3
1629      04 29 37.0  -71 50 18   12.7         1
1641      04 35 38.0  -65 46 06     U        9 6
1644      04 37 39.6  -66 11 49   12.9       1.6
1647      04 45 42.2  +19 07 09    6.4        40
1649      04 38 22.9  -68 40 23   13.1        15
1651      04 37 32.7  -70 35 08   12.3       2.5
1652      04 38 22.9  -68 40 23   13.1        15
1662      04 48 27.0  +10 55 48    6.4        12
1663      04 49 24.3  +13 08 27   14.5         9
1664      04 51 05.4  +43 40 34    7.6        18
1673      04 42 39.7  -69 49 17   14.1       0.7
1676      04 43 54.2  -68 49 40     U        0.8
1693      04 47 38.8  -69 20 37   12.9       0.7
1695      04 47 44.5  -69 22 26   12.2       1.5
1696      04 48 30.0  -68 14 35   14.0       0.9
1697      04 48 36.4  -68 33 29   12.6       2.6
1698      04 49 04.5  -69 06 49   12.1       1.6
1702      04 49 27.7  -69 51 03   12.5         1
1704      04 49 55.5  -69 45 23   11.5       1.7
1707      04 58 21.1  +08 14 20     U          1
1708      05 03 27.0  +52 50 00     U         20
1711      04 50 36.2  -69 59 08   10.1       2.4
1712      04 50 58.5  -69 24 27     U        2.5
1718      04 52 25.4  -67 03 03   12.3         2
1724      05 03 33.0  +49 29 30     U          1
1732      04 53 10.6  -68 39 00   12.3       0.9
1733      04 54 04.8  -66 40 58   13.3       1.2
1734      04 53 33.6  -68 46 08   13.1       1.3
1735      04 54 19.7  -67 05 59   10.8       1.6
1746      05 03 50.0  +23 46 12    6.1        40
1749      04 54 56.1  -68 11 20   13.6       1.2
1750      05 03 54.0  +23 39 30     U      25 12
1751      04 54 12.1  -69 48 23   14.5       1.7
1755      04 55 14.9  -68 12 15    9.9       2.6
1756      04 54 49.9  -69 14 15   12.2       1.1
1758      05 04 36.0  +23 47 54     U         40
1761      04 56 42.0  -66 28 45    9.9       1.2
1764      04 56 27.8  -67 41 38   12.6         1
1766      04 55 57.7  -70 13 31   12.2       0.7
1768      04 57 00.2  -68 14 58   12.8       0.9
1772      04 56 52.9  -69 33 22   11.0       1.5
1774      04 58 06.9  -67 14 33   10.8       1.8
1775      04 56 53.4  -70 25 47   12.6       0.7
1776      04 58 39.8  -66 25 47   13.0       1.1
1777      04 55 47.8  -74 17 08   12.8       2.1
1778      05 08 05.0  +37 01 24    7.7         8
1782      04 57 51.2  -69 23 32   10.5       1.2
1783      04 59 08.8  -65 59 07   10.9         3
1785      04 58 35.3  -68 50 37     U          3
1786      04 59 07.9  -67 44 43   10.9       1.6
1787      05 00 02.0  -65 47 42   10.9        23
1789      04 57 51.2  -71 54 03   13.1       1.5
1790      05 11 07.2  +52 03 30     U         15
1791      04 59 06.6  -70 10 08   13.1       1.3
