NGC         RA           DE           MAG          X Y
1           00 07 15.9  +27 42 32     12.9      1.70 1.2
2           00 07 17.1  +27 40 43     14.2      1.00 0.6
3           00 07 16.8  +08 18 05     13.3      1.10 0.6
4           00 07 24.5  +08 22 26     15.8      0.60 0.3
5           00 07 48.8  +35 21 46     13.3      1.20 0.7
6           00 09 32.6  +33 18 32     13.1      1.70 1.6
7           00 08 20.7  -29 54 59     13.9      2.20 0.5
9           00 08 54.5  +23 49 04     13.5      1.10 0.7
10          00 08 34.3  -33 51 28     12.5      2.40 1.2
11          00 08 42.3  +37 26 53     13.7      1.50 0.3
12          00 08 44.8  +04 36 44     13.1      1.10 1.0
13          00 08 47.7  +33 25 59     13.2      2.30 0.6
14          00 08 46.3  +15 48 57     12.1      2.80 2.1
15          00 09 02.4  +21 37 30     13.8      1.00 0.6
16          00 09 04.2  +27 43 48     12.0      1.80 1.0
17          00 11 06.6  -12 06 28     14.4      2.10 0.8
19          00 10 40.8  +32 58 58     13.3      1.10 0.6
20          00 09 32.6  +33 18 32     13.1      1.70 1.6
21          00 10 47.0  +33 21 07     12.7      1.50 0.7
22          00 09 48.2  +27 49 58     13.6      1.30 1.0
23          00 09 53.3  +25 55 26     12.0      2.10 1.3
24          00 09 56.1  -24 57 52     11.6      5.80 1.3
25          00 09 59.3  -57 01 13     13.0      1.40 0.8
26          00 10 25.9  +25 49 56     12.9      2.10 1.4
27          00 10 32.7  +28 59 49     13.5      1.20 0.5
28          00 10 25.2  -56 59 20     13.8      0.80 0.6
29          00 10 47.0  +33 21 07     12.7      1.50 0.7
31          00 10 38.5  -56 59 10     13.9      1.30 0.7
34          00 11 06.6  -12 06 28     14.4      2.10 0.8
35          00 11 10.4  -12 01 14     14.1      0.70 0.5
36          00 11 22.4  +06 23 20     13.3      2.20 1.1
37          00 11 23.0  -56 57 25     13.7      1.10 0.7
38          00 11 47.0  -05 35 11     13.3      1.40 1.3
39          00 12 18.8  +31 03 39     13.5      1.10 1.0
41          00 12 48.0  +22 01 26     13.7      0.80 0.5
42          00 12 56.3  +22 06 03     13.8      1.10 0.6
43          00 13 00.9  +30 54 56     12.6      1.60 1.5
45          00 14 04.0  -23 10 53     10.6      8.50 5.9
47          00 14 30.5  -07 10 04     13.1      2.30 2.1
48          00 14 02.1  +48 14 06     13.6      1.60 1.0
49          00 14 22.4  +48 14 50     13.7      1.10 1.0
50          00 14 44.6  -07 20 42     12.3      2.40 1.8
51          00 14 34.8  +48 15 22     13.1      1.30 1.0
52          00 14 40.0  +18 34 54     13.4      2.20 0.4
53          00 14 43.0  -60 19 43     12.6      2.00 1.4
54          00 15 07.6  -07 06 24     13.4      1.30 0.5
55          00 15 08.0  -39 13 10      7.9      31.20 5.9
57          00 15 30.9  +17 19 45     11.6      2.20 1.9
58          00 14 30.5  -07 10 04     13.1      2.30 2.1
59          00 15 25.3  -21 26 41     12.4      2.60 1.3
60          00 15 58.2  -00 18 13     14.1      1.30 1.2
61A         00 16 24.0  -06 19 02     13.0      1.10 0.7
61B         00 16 24.4  -06 19 20     14.5      0.90 0.4
62          00 17 05.3  -13 29 11     13.2      1.10 0.8
63          00 17 45.5  +11 27 00     11.7      1.70 1.2
64          00 17 30.3  -06 49 30     13.2      1.60 1.1
65          00 18 58.7  -22 52 48     13.9      1.00 0.8
66          00 19 04.9  -22 56 11     13.5      1.20 0.7
67          00 18 14.9  +30 03 48     14.2      0.30 0.2
67A         00 18 12.1  +30 03 19     14.7      0.40 0.2
68          00 18 18.2  +30 04 21     12.9      1.20 1.1
69          00 18 20.4  +30 02 26     14.7      0.50 0.3
70          00 18 22.4  +30 04 44     13.5      1.60 1.4
71          00 18 23.5  +30 03 47     13.2      1.20 0.9
72          00 18 28.4  +30 02 26     13.5      1.10 0.9
72A         00 18 34.3  +30 02 10     14.7      0.30 0.3
73          00 18 38.9  -15 19 18     13.7      1.70 1.2
74          00 18 49.5  +30 03 41     14.8      0.80 0.3
75          00 19 26.3  +06 26 59     13.2      1.10 1.1
76          00 19 37.7  +29 56 03     13.1      1.00 0.9
77          00 20 01.6  -22 31 56     14.8      0.40 0.4
78A         00 20 25.8  +00 49 35     12.8      1.10 0.7
78B         00 20 27.5  +00 50 00     13.5      1.00 0.7
79          00 21 02.8  +22 34 02     14.0      0.60 0.6
80          00 21 10.9  +22 21 28     12.1      1.60 1.6
81          00 21 13.2  +22 23 00     15.7      0.20 0.1
83          00 21 22.6  +22 26 03     12.5      1.50 1.5
85          00 21 25.5  +22 30 44     14.8      0.70 0.5
85A         00 21 25.5  +22 30 44     14.8      0.70 0.5
85B         00 21 29.1  +22 30 23     14.7      0.90 0.3
86          00 21 28.6  +22 33 23     14.8      0.70 0.3
87          00 21 14.2  -48 37 44     14.3      0.90 0.7
88          00 21 22.0  -48 38 23     14.4      0.80 0.5
89          00 21 24.3  -48 39 55     13.5      1.20 0.6
90          00 21 51.6  +22 24 02     13.7      1.90 0.8
92          00 21 31.4  -48 37 29     13.1      1.90 0.9
93          00 22 03.4  +22 24 32     13.2      1.40 0.6
94-1        00 22 13.6  +22 29 00     14.6      0.40 0.2
94-2        00 22 13.8  +22 28 26     15.5      0.40 0.2
95          00 22 13.6  +10 29 31     12.5      1.50 1.1
96          00 22 17.8  +22 32 48     14.6      0.60 0.6
97          00 22 30.0  +29 44 44     12.3      1.30 1.3
98          00 22 49.3  -45 16 06     12.7      1.60 1.3
99          00 23 59.6  +15 46 12     13.7      1.00 0.9
100         00 24 02.6  +16 29 11     13.3      4.20 0.5
101         00 23 54.5  -32 32 11     12.8      2.10 2.0
102         00 24 36.5  -13 57 22     13.5      1.00 0.7
105         00 25 16.9  +12 53 01     13.2      1.10 0.7
106         00 24 43.7  -05 08 56     13.7      0.90 0.7
107         00 25 42.1  -08 17 00     14.2      0.90 0.6
108         00 25 59.7  +29 12 43     12.1      2.30 1.8
109         00 26 14.6  +21 48 28     13.7      1.10 1.0
111         01 55 42.1  -03 03 58     14.4      0.90 0.7
112         00 26 48.8  +31 42 10     13.6      1.00 0.5
113         00 26 54.7  -02 30 02     13.1      1.40 1.0
114         00 26 58.2  -01 47 09     13.8      0.80 0.7
115         00 26 46.0  -33 40 34     13.1      1.90 0.9
117         00 27 10.9  +01 20 03     14.3      0.70 0.4
118         00 27 16.1  -01 46 47     13.6      0.70 0.5
119         00 26 57.6  -56 58 40     13.0      1.00 1.0
120         00 27 30.1  -01 30 49     13.4      1.50 0.6
124         00 27 52.3  -01 48 37     13.0      1.40 0.8
125         00 28 50.3  +02 50 19     12.1      1.80 1.6
126         00 29 08.1  +02 48 40     14.2      0.80 0.4
127         00 29 12.3  +02 52 24     14.8      0.80 0.5
128         00 29 14.9  +02 51 54     11.8      2.50 0.7
130         00 29 18.6  +02 52 16     14.4      0.70 0.4
131         00 29 38.1  -33 15 37     13.2      1.80 0.6
132         00 30 10.6  +02 05 35     12.6      1.90 1.5
134         00 30 21.8  -33 14 42     10.4      8.40 1.8
135         00 31 45.9  -13 20 16     15.1      0.50 0.5
137         00 30 58.1  +10 12 31     12.8      1.20 1.2
138         00 30 59.2  +05 09 35     13.7      1.30 0.6
139         00 31 06.5  +05 04 42     14.4      0.80 0.5
140         00 31 20.4  +30 47 31     13.2      1.50 1.2
141         00 31 17.6  +05 10 46     14.5      0.80 0.6
142         00 31 07.9  -22 37 10     13.8      1.10 0.6
