NGC          RA            DE      MAG       X x Y       
40        00 13 01.0  +72 31 21   12.3           1.23  
206       00 40 32.3  +40 44 18   14.0            4.2  
246       00 47 03.3  -11 52 17   10.9           4.08  
248       00 45 24.0  -73 22 49     U               1  
249       00 45 31.8  -73 04 49   13.8              2  
261       00 46 27.9  -73 06 14   13.0            1.9  
281       00 52 53.8  +56 37 30     U     35.00 30.0   
346       00 59 05.0  -72 10 38     U     14.00 11.0   
361       01 02 11.1  -71 36 24   12.0            1.6  
371       01 03 26.0  -72 03 54     U             7.5  
395       01 05 07.3  -71 59 39     U              17  
456       01 13 46.0  -73 17 30     U     15.00 15.0   
460       01 14 38.0  -73 17 30   12.5              1  
588       01 32 45.7  +30 38 56   13.5           0.65  
592       01 33 12.0  +30 38 47   13.0            0.7  
595       01 33 34.0  +30 41 32   13.5            0.5  
602       01 29 26.4  -73 33 26     U              34  
604       01 34 32.6  +30 47 04   12.0           1.95  
650       01 42 18.1  +51 34 17   10.1           3.12  
651       01 42 22.0  +51 34 50   10.1           1.08  
896       02 25 27.8  +62 01 10     U     10.00 10.0   
1333      03 29 18.0  +31 25 00     U       6.00 3.0   
1360      03 33 14.6  -25 52 16    9.4           6.42  
1432      03 45 49.5  +24 22 06     U     26.00 26.0   
1435      03 46 10.0  +23 45 54     U     30.00 30.0   
1491      04 03 13.5  +51 18 58     U     25.00 25.0   
1499      04 01 10.0  +36 27 36    5.0   120.00 60.0   
1501      04 06 59.4  +60 55 17   11.5           0.87  
1514      04 09 17.0  +30 46 35   10.9            2.2  
1535      04 14 15.8  -12 44 20    9.6           0.85  
1555      04 21 56.7  +19 32 04     U             0.5  
1579      04 30 14.2  +35 16 47     U      12.00 8.0   
1714      04 52 08.4  -66 55 32   11.6            1.2  
1722      04 51 50.7  -69 23 56   13.2              1  
1727      04 52 20.0  -69 20 42   11.1            2.5  
1731      04 53 32.1  -66 55 31    9.9              8  
1743      04 54 03.2  -69 11 57     U       2.00 2.0   
1763      04 56 45.0  -66 25 06     U       5.00 3.0   
1767      04 56 27.4  -69 24 02   10.6            1.6  
1770      04 57 18.0  -68 24 54     U             1.6  
1788      05 06 53.2  -03 20 28     U       5.00 3.0   
1814      05 03 46.5  -67 18 03    9.0              1  
1829      05 04 57.4  -68 03 20     U             2.1  
1833      05 04 21.8  -70 43 54     U             2.1  
1869      05 13 52.0  -67 22 40     U              14  
1871      05 13 51.8  -67 27 10   10.1              2  
