  NI AC RH   RM   RS   V   DG  DM  DS  BMAG   X     Y       TYPE
IC342       3   46 48.4 +    68   5  44   9.1 21.40  20.9    SBc
IC1613      1    4 47.5 +     2   7   7   9.9 16.60  14.9    IBm
IC4895     19   44 56.6 -    14  48  23   9.3 15.40  14.2    IBm
IC2574     10   28 22.4 +    68  25   0  10.8 13.20   5.4    SBm
IC5332     23   34 27.4 -    36   6   5  11.2  8.90   8.2    SBcd
IC5201     22   20 57.5 -    46   2   5  11.5  8.50   3.9    SBc
IC2531      9   59 55.7 -    29  37   4  12.9  6.90   0.6     Sc
IC10       0   20 24.5 +    59  17  33  11.8  6.40   5.3    IBm
IC3064     12   15 16.7 +    13   1  22  12.8  6.40   1.1    Sbc
IC356       4    7 46.3 +    69  48  43  11.4  5.90   3.9    Sb/P
IC4351     13   57 53.8 -    29  18  56  12.6  5.90   0.9     Sb
IC5052     20   52  7.1 -    69  12  19  11.2  5.90   0.9    SBcd
IC1727      1   47 30.0 +    27  19  57  12.1  5.70   2.4    SBm
IC4948     20   24 27.9 -    43  39  11  11.6  5.60   3.9    SBa
IC5267     22   57 13.7 -    43  23  45  11.4  5.20   3.9    S0-a
IC1459     22   57 10.4 -    36  27  45  11.0  5.20   1.8     E3
IC5265     22   57 10.4 -    36  27  45  11.0  5.20   1.8     E3
IC4721     18   34 24.7 -    58  29  50  12.4  5.20   1.5    SBc
IC3042     12   12 46.2 +    10  51  51  11.9  5.00   1.7    SBcd
IC4182     13    5 49.3 +    37  36  23  11.8  4.80   4.1     Sm
IC764      12   10 14.0 -    29  44  13  12.9  4.80   1.4    SBc
IC2469      9   23  1.4 -    32  26  59  12.0  4.70   1.0    SBab
IC239       2   36 27.9 +    38  58   8  11.8  4.60   4.2    SBa
IC2233      8   13 59.0 +    45  44  23  13.1  4.60   0.5    SBcd
IC2133      5   42  3.9 +    69  22  43  11.7  4.50   3.1    SBbc
IC5308     23   19 20.8 -    42  15  29  12.1  4.40   1.4    SBc
IC5176     22   14 55.0 -    66  51   0  13.5  4.40   0.5    SBbc
IC3011     12    8  9.5 +    10  22  44  12.2  4.30   1.4    S0-a
IC3667     12   41 33.0 +    41   9   4  11.2  4.20   3.4    SBm
IC4338     13   52 54.5 -     1   6  49  12.0  4.20   3.0    SBc
IC3961     12   59  1.8 +    34  51  43  14.1  4.20   1.6    SBm
IC3098     12   17  9.7 +     7  11  27  12.6  4.20   0.9     Sa
IC4402     14   21 12.9 -    46  17  54  12.0  4.20   0.9     Sb
IC4551     15   37 36.2 +     5  58  25  12.6  4.10   3.3    SBcd
IC2571     10   21 34.8 -    34  16   1  11.8  4.10   2.7     Sb
IC1712      1   31 20.5 -     6  52   2  11.4  4.10   2.0     E4
IC2000      3   49  7.6 -    48  51  30  12.6  4.10   0.8    SBc
IC5078     21    2 31.2 -    16  49   6  13.6  4.10   0.8     Sc
IC4837     19   15 15.9 -    54   7  59  12.6  4.10   0.7     Sb
IC4633     17   13 47.1 -    77  32   9  13.7  4.00   3.0     Sc
IC5269     22   56 36.5 -    36  15   0  13.2  4.00   0.7    SBc
